"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1952-1953","85.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1953-1954","157.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1954-1955","92.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1955-1956","156.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1956-1957","146.5"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1957-1958","48.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1958-1959","115.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1959-1960","57.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1960-1961","94.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1961-1962","67.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1962-1963","29.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1963-1964","198.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1964-1965","217.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1965-1966","87.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1966-1967","117.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1967-1968","123.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1968-1969","85.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1969-1970","70.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1971-1972","224.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1972-1973","58.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1973-1974","191.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1974-1975","126.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1975-1976","89.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1976-1977","71.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1977-1978","61.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1978-1979","113.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1979-1980","192.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1980-1981","160.0"
"כביש ירוחם שדה בוקר קמ 42 09/1952-11/2023","1981-1982","83.0"
